Taxon	LFC_LR	qval_LR	LFC_W	qval_W	LFC_WR	qval_WR
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum	-0.7051432891437549	3.18864544713e-36	0.6785685133495768	1.0	1.7085360486626249	0.2017670200305904
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira	-0.7221740894598666	1.0	-0.2783553172536921	1.0	-0.6563994148176243	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Butyricicoccaceae;g__Pseudobutyricicoccus	1.2253315393290465	0.4313480921351727	0.2494212167254789	1.0	1.5597569236871731	0.0788234634028737
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio_R_446353	-0.7051432891437547	3.18864544713e-36	0.7665478713864767	0.9499096238882724	2.2486732115693324	2.478168417662809e-10
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus	0.2132984161808642	1.0	-0.3606960897426986	1.0	-0.1207706278279157	1.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Haloplasmatales_A;f__Turicibacteraceae;g__Turicibacter	0.0077756518246359	1.0	0.4840251789050634	1.0	1.2873465984973786	0.0028003371345091
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;__	-0.3387219523635353	1.0	-0.0065444217356717	1.0	1.219974468409849	0.8578436839223207
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__CAG-552;g__	0.1079569904132842	1.0	-0.6277710841826717	1.0	0.6397164093343682	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster	-0.1167579440349525	1.0	-0.3271630914183642	1.0	-0.3171573312798812	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Clostridiales;f__Clostridiaceae_222000;g__Dwaynesavagella	-1.3138459449610669	0.4241013869706669	-0.5260821762568418	1.0	-1.1490502445245467	0.3298353368828893
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium	0.8603600420064981	1.0	-0.4038011505291651	1.0	-0.3937953903906822	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__TANB77;f__CAG-508;__	-0.0707923465192873	1.0	0.2886573698921973	1.0	-0.2711917337642162	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Evtepia	0.4723933316725988	1.0	-0.0065444217356716	1.0	1.8733912744789905	0.0146345622515048
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__RF39;f__UBA660;g__	0.2709617878449297	1.0	-0.1798090991474911	1.0	-0.5362246757892277	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__CAG-272;g__Avispirillum	0.1523219668779649	1.0	-0.6749328630753556	1.0	-0.6649271029368725	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__;g__	-0.2016049341722702	1.0	-0.6409411486399001	1.0	0.0086841564240407	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Merdisoma	-0.3728684695894456	1.0	1.1742618296917964	1.0	0.5917017964182714	1.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_595427;f__Burkholderiaceae_A_595427;g__Parasutterella	-0.7051432891437548	3.18864544713e-36	1.0636109487693102	1.0	1.22536594383597	0.0650465678999136
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	-0.7051432891437549	3.18864544713e-36	0.4793409185017789	1.0	1.397362058739675	0.0595437940021361
d__Bacteria;p__Firmicutes_B_370539;c__Dehalobacteriia;o__Dehalobacteriales;f__Dehalobacteriaceae;g__	-1.1809761003650447	0.0027279954579656	0.329562733805707	1.0	0.5346649330752121	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Luxibacter	0.3177237405128348	1.0	-0.0065444217356717	1.0	0.0034613384028112	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Clostridiales;f__Clostridiaceae_222000;g__Clostridium_T	-0.4752235873674549	1.0	0.7228763602501254	1.0	0.9856373508708935	0.8578436839223207
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Faecousia	0.2347497411434022	1.0	-0.0065444217356718	1.0	0.0034613384028111	1.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__RF39;f__UBA660;g__Scybalousia	-0.7825028266072234	1.0	-0.5918108251261993	1.0	-0.5818050649877166	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella	-0.251135599094048	1.0	-0.0065444217356716	1.0	0.8011036682287683	1.0
d__Bacteria;p__Firmicutes_A;__;__;__;__	0.2666273913311467	1.0	-0.0065444217356717	1.0	0.0034613384028112	1.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__C-19	-0.9250630303924132	1.0	-0.5690206305269547	1.0	-0.5590148703884719	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Anaerovoracaceae;g__	-1.121668852915655	0.0016011553006074	-0.0101597343795488	1.0	-0.2561196127022164	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_S	-0.0224113615563934	1.0	0.3223963058349062	1.0	0.0034613384028112	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__CAG-272;g__RUG13077	-0.0530935475054926	1.0	-0.0065444217356718	1.0	0.0034613384028111	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Paludicola	-0.6224644458225904	1.0	0.5261177006399566	1.0	0.1440637685965706	1.0
d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Denitrovibrionaceae;__	-0.7051432891437548	3.18864544713e-36	0.6264294066705157	1.0	0.0034613384028111	1.0
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	-0.7051432891437549	3.18864544713e-36	0.5204383574234618	1.0	0.2814485025535702	1.0
